# Honghu A1 Word V2.5 main aerodynamic coefficient table
# alpha_deg rows, beta_deg columns; beta values are non-negative and plugin mirrors sideslip sign where configured.
alpha_deg/beta_deg,0,2,4,6,8,10,12,14,16
-2,0,0,0,0,0.0001,0.0004,0.0008,0.0022,0.0048
0,0,-0.0003,-0.0006,-0.0008,-0.0009,-0.0008,-0.0004,0.0009,0.0023
2,0,-0.0006,-0.0012,-0.0017,-0.0021,-0.002,-0.0012,0.0001,0.0011
4,0,-0.0011,-0.0021,-0.0029,-0.0034,-0.0027,-0.0028,-0.0022,-0.0015
6,0,-0.0015,-0.0029,-0.0039,-0.005,-0.0059,-0.0058,-0.0083,-0.0075
8,0,-0.002,-0.0034,-0.0051,-0.0063,-0.0075,-0.0103,-0.0112,-0.0116
10,0,-0.002,-0.0045,-0.0056,-0.0073,-0.0106,-0.0113,-0.0163,-0.017
12,0,-0.0019,-0.0043,-0.0047,-0.0059,-0.0078,-0.0088,-0.0125,-0.0142
14,0,-0.0027,-0.0043,-0.0058,-0.0073,-0.0096,-0.0122,-0.0171,-0.0203
16,0,-0.0039,-0.0059,-0.0081,-0.0107,-0.0126,-0.0169,-0.0224,-0.0258
