# Honghu A1 Word V2.5 main aerodynamic coefficient table
# alpha_deg rows, beta_deg columns; beta values are non-negative and plugin mirrors sideslip sign where configured.
alpha_deg/beta_deg,0,2,4,6,8,10,12,14,16
-2,0,0.0025,0.0052,0.0078,0.0105,0.013,0.0154,0.0181,0.0212
0,0,0.0024,0.0049,0.0074,0.0099,0.0123,0.0146,0.0183,0.0213
2,0,0.0024,0.0047,0.0071,0.0095,0.0118,0.0159,0.0184,0.0212
4,0,0.0023,0.0046,0.0069,0.0092,0.0128,0.0157,0.0183,0.022
6,0,0.0021,0.0043,0.0065,0.009,0.0123,0.015,0.0156,0.0194
8,0,0.002,0.0042,0.0065,0.0098,0.0123,0.0146,0.0154,0.0185
10,0,0.0015,0.0045,0.0079,0.0106,0.0121,0.0143,0.015,0.0176
12,0,0.0013,0.0027,0.0064,0.0112,0.0134,0.0151,0.016,0.0181
14,0,0.0019,0.0042,0.0071,0.0109,0.0138,0.0155,0.0155,0.0172
16,0,0.0027,0.0068,0.0101,0.0129,0.0156,0.016,0.0154,0.0166
