# Honghu A1 Word V2.5 aerodynamic table
# main static coefficient table; complete 2D rows from Word, alpha -2..16 deg
alpha_deg/beta_deg,0,2,4,6,8,10,12,14,16
-2,0,-0.0326,-0.0658,-0.0984,-0.1309,-0.1616,-0.1902,-0.2158,-0.2304
0,0,-0.0324,-0.0649,-0.0968,-0.129,-0.1588,-0.1834,-0.2002,-0.2226
2,0,-0.032,-0.0638,-0.0953,-0.127,-0.155,-0.1718,-0.1931,-0.2188
4,0,-0.0313,-0.0628,-0.0937,-0.1238,-0.1436,-0.1679,-0.19,-0.2103
6,0,-0.0302,-0.0606,-0.0896,-0.1167,-0.1408,-0.1606,-0.178,-0.2046
8,0,-0.0288,-0.0589,-0.0872,-0.1131,-0.1353,-0.1514,-0.1731,-0.1979
10,0,-0.0279,-0.0563,-0.0808,-0.1074,-0.1315,-0.1532,-0.1751,-0.1928
12,0,-0.026,-0.0528,-0.0803,-0.112,-0.1386,-0.1554,-0.1717,-0.1901
14,0,-0.0239,-0.0533,-0.0847,-0.1181,-0.1419,-0.1572,-0.1754,-0.1945
16,0,-0.0229,-0.0541,-0.0867,-0.116,-0.1429,-0.1597,-0.177,-0.1979
