# Honghu A1 Word V2.5 aerodynamic table
# main static coefficient table; complete 2D rows from Word, alpha -2..16 deg
alpha_deg/beta_deg,0,2,4,6,8,10,12,14,16
-2,-0.0488,-0.0811,-0.081,-0.0816,-0.0823,-0.0845,-0.0888,-0.1016,-0.1084
0,-0.0534,-0.0886,-0.0883,-0.0883,-0.0883,-0.0903,-0.096,-0.1043,-0.1038
2,-0.0574,-0.095,-0.0945,-0.0941,-0.0928,-0.0944,-0.0997,-0.1053,-0.1065
4,-0.0608,-0.1007,-0.0999,-0.0988,-0.0963,-0.0969,-0.099,-0.1075,-0.1062
6,-0.0643,-0.1062,-0.1043,-0.101,-0.0972,-0.0978,-0.099,-0.091,-0.0865
8,-0.0654,-0.1072,-0.1043,-0.1009,-0.0976,-0.0946,-0.0811,-0.0799,-0.0803
10,-0.0611,-0.109,-0.1057,-0.103,-0.0987,-0.0826,-0.0822,-0.0689,-0.0649
12,-0.0652,-0.1108,-0.107,-0.1053,-0.0997,-0.0867,-0.0785,-0.064,-0.0584
14,-0.0673,-0.1129,-0.1082,-0.1077,-0.1005,-0.0833,-0.0703,-0.0614,-0.052
16,-0.0855,-0.1408,-0.1339,-0.1197,-0.104,-0.0904,-0.0762,-0.0715,-0.0608
