# Honghu A1 V2.5 static aerodynamic coefficient table
# alpha/beta in deg; coefficients dimensionless; FRD/PDF convention
# alpha=18/20 beta=0 from PDF; nonzero-beta increments derived from alpha=16
alpha_deg/beta_deg,0,2,4,6,8,10,12,14,16
-2,0.0259,0.0268,0.0284,0.0311,0.0351,0.0408,0.0486,0.0614,0.0761
0,0.0293,0.0301,0.0316,0.0343,0.0382,0.044,0.0528,0.0659,0.0789
2,0.0358,0.0366,0.0381,0.0408,0.0447,0.0506,0.0637,0.0735,0.0849
4,0.0456,0.0464,0.0479,0.0505,0.0544,0.064,0.0736,0.0836,0.0952
6,0.0588,0.0595,0.061,0.0639,0.0692,0.0777,0.0879,0.0987,0.1107
8,0.0757,0.0764,0.0782,0.0816,0.0882,0.096,0.1079,0.1182,0.1281
10,0.1015,0.1033,0.1033,0.1088,0.1146,0.124,0.1342,0.1422,0.1509
12,0.132,0.1342,0.1366,0.1423,0.1512,0.1573,0.1661,0.1745,0.1812
14,0.1695,0.1697,0.1737,0.1796,0.1867,0.1959,0.2012,0.2088,0.2131
16,0.21,0.212,0.2164,0.2233,0.2315,0.2368,0.2397,0.2462,0.2499
18,0.2556,0.2576,0.262,0.2689,0.2771,0.2824,0.2853,0.2918,0.2955
20,0.306,0.308,0.3124,0.3193,0.3275,0.3328,0.3357,0.3422,0.3459
