# Honghu A1 V2.5 static aerodynamic coefficient table
# alpha/beta in deg; coefficients dimensionless; FRD/PDF convention
# alpha=18/20 beta=0 from PDF; nonzero-beta increments derived from alpha=16
alpha_deg/beta_deg,0,2,4,6,8,10,12,14,16
-2,0.1388,0.1379,0.1377,0.1381,0.1384,0.1399,0.143,0.1502,0.1554
0,0.3012,0.2999,0.2994,0.299,0.2982,0.299,0.302,0.3007,0.2926
2,0.4621,0.4603,0.4594,0.4584,0.4561,0.4558,0.4512,0.4481,0.4452
4,0.6206,0.6184,0.6171,0.615,0.6105,0.6023,0.5981,0.6003,0.5889
6,0.7756,0.7726,0.7695,0.7629,0.7548,0.7488,0.7422,0.7237,0.7103
8,0.9198,0.915,0.9097,0.9019,0.8923,0.8826,0.8589,0.8468,0.8407
10,1.0226,1.0153,1.0206,1.0162,1.0122,0.995,0.9876,0.9639,0.9549
12,1.1479,1.1378,1.1314,1.1146,1.1011,1.0849,1.0799,1.0549,1.0382
14,1.2563,1.249,1.2396,1.2257,1.2103,1.1769,1.156,1.1223,1.1002
16,1.3233,1.3209,1.3204,1.3024,1.281,1.2593,1.2295,1.1982,1.1699
18,1.3813,1.3789,1.3784,1.3604,1.339,1.3173,1.2875,1.2562,1.2279
20,1.4057,1.4033,1.4028,1.3848,1.3634,1.3417,1.3119,1.2806,1.2523
