altitude_m,airspeed_mps,throttle_pct,fuel_kg_h,quality
0,0,0,0.85,pdf
0,0,8,2.13,pdf
0,0,16,3.37,pdf
0,0,20,4.29,pdf
0,0,25,5.7,pdf
0,0,30,7.26,pdf
0,0,50,10.92,pdf
0,0,60,13.56,pdf
0,0,80,14.76,pdf
0,30,0,0.48,pdf
0,30,8,1.22,pdf
0,30,16,1.93,pdf
0,30,20,2.46,pdf
0,30,25,3.26,pdf
0,30,30,4.15,pdf
0,30,50,6.24,pdf
0,30,60,7.74,pdf
0,30,80,8.42,pdf
0,40,0,0.37,pdf
0,40,8,0.91,pdf
0,40,16,1.45,pdf
0,40,20,1.84,pdf
0,40,25,2.44,pdf
0,40,30,3.11,pdf
0,40,50,4.68,pdf
0,40,60,5.81,pdf
0,40,80,6.32,pdf
0,50,0,0.25,pdf
0,50,8,0.6,pdf
0,50,16,0.96,pdf
0,50,20,1.22,pdf
0,50,25,1.63,pdf
0,50,30,2.07,pdf
0,50,50,2.27,pdf
0,50,60,3.88,pdf
0,50,80,4.22,pdf
2000,0,0,0.7,pdf
2000,0,8,1.74,pdf
2000,0,16,2.77,pdf
2000,0,20,3.53,pdf
2000,0,25,4.68,pdf
2000,0,30,5.97,pdf
2000,0,50,8.98,pdf
2000,0,60,11.14,pdf
2000,0,80,12.13,pdf
2000,30,0,0.4,pdf
2000,30,8,0.99,pdf
2000,30,16,1.58,pdf
2000,30,20,2.01,pdf
2000,30,25,2.68,pdf
2000,30,30,3.41,pdf
2000,30,50,5.13,pdf
2000,30,60,6.37,pdf
2000,30,80,6.93,pdf
2000,40,0,0.3,pdf
2000,40,8,0.75,pdf
2000,40,16,1.19,pdf
2000,40,20,1.51,pdf
2000,40,25,2.01,pdf
2000,40,30,2.56,pdf
2000,40,50,3.84,pdf
2000,40,60,4.77,pdf
2000,40,80,5.19,pdf
2000,50,0,0.2,pdf
2000,50,8,0.49,pdf
2000,50,16,0.79,pdf
2000,50,20,1.0,pdf
2000,50,25,1.33,pdf
2000,50,30,1.7,pdf
2000,50,50,2.56,pdf
2000,50,60,3.18,pdf
2000,50,80,3.46,pdf
4000,0,0,0.57,pdf
4000,0,8,1.42,pdf
4000,0,16,2.26,pdf
4000,0,20,2.87,pdf
4000,0,25,3.82,pdf
4000,0,30,4.85,pdf
4000,0,50,7.3,pdf
4000,0,60,9.07,pdf
4000,0,80,9.87,pdf
4000,30,0,0.32,pdf
4000,30,8,0.81,pdf
4000,30,16,1.29,pdf
4000,30,20,1.64,pdf
4000,30,25,2.18,pdf
4000,30,30,2.77,pdf
4000,30,50,4.17,pdf
4000,30,60,5.18,pdf
4000,30,80,5.64,pdf
4000,40,0,0.25,pdf
4000,40,8,0.61,pdf
4000,40,16,0.97,pdf
4000,40,20,1.23,pdf
4000,40,25,1.64,pdf
4000,40,30,2.09,pdf
4000,40,50,3.15,pdf
4000,40,60,3.9,pdf
4000,40,80,4.24,pdf
4000,50,0,0.16,pdf
4000,50,8,0.41,pdf
4000,50,16,0.65,pdf
4000,50,20,0.82,pdf
4000,50,25,1.09,pdf
4000,50,30,1.39,pdf
4000,50,50,2.08,pdf
4000,50,60,2.58,pdf
4000,50,80,2.81,pdf
6000,0,0,0.46,pdf
6000,0,8,1.15,pdf
6000,0,16,1.82,pdf
6000,0,20,2.31,pdf
6000,0,25,3.07,pdf
6000,0,30,3.91,pdf
6000,0,50,5.88,pdf
6000,0,60,7.3,pdf
6000,0,80,7.95,pdf
6000,30,0,0.26,pdf
6000,30,8,0.65,pdf
6000,30,16,1.04,pdf
6000,30,20,1.33,pdf
6000,30,25,1.76,pdf
6000,30,30,2.24,pdf
6000,30,50,3.37,pdf
6000,30,60,4.18,pdf
6000,30,80,4.55,pdf
6000,40,0,0.2,pdf
6000,40,8,0.49,pdf
6000,40,16,0.78,pdf
6000,40,20,1.02,imputed_from_16_25_pct
6000,40,25,1.32,pdf
6000,40,30,1.67,pdf
6000,40,50,2.52,pdf
6000,40,60,3.13,pdf
6000,40,80,3.41,pdf
6000,50,0,0.13,pdf
6000,50,8,0.33,pdf
6000,50,16,0.52,pdf
6000,50,20,0.66,pdf
6000,50,25,0.88,pdf
6000,50,30,1.11,pdf
6000,50,50,1.68,pdf
6000,50,60,2.08,pdf
6000,50,80,2.27,pdf
