altitude_m,throttle_pct,rpm,airspeed_mps,thrust_kgf,torque_Nm
0,65,3000,0,22.22,12.339
0,65,3000,10,17.46,11.82
0,65,3000,20,12.88,10.29
0,65,3000,30,7.53,8.56
0,65,3000,40,1.34,3.11
0,65,3000,50,-6.31,-3.55
0,80,4000,0,36.17,22.019
0,80,4000,10,32.81,20.92
0,80,4000,20,27.67,20.37
0,80,4000,30,22.09,19.98
0,80,4000,40,14.07,14.41
0,80,4000,50,4.44,7.59
0,100,5000,0,56.94,34.611
0,100,5000,10,52.79,32.47
0,100,5000,20,46.98,32.62
0,100,5000,30,41.21,33.25
0,100,5000,40,32.27,29.1
0,100,5000,50,21.34,24.03
2000,70,3000,0,16.49,10.3
2000,70,3000,10,14.32,9.72
2000,70,3000,20,10.56,8.45
2000,70,3000,30,6.16,7.0
2000,70,3000,40,1.06,2.74
2000,70,3000,50,-5.17,-2.48
2000,85,4000,0,29.61,17.697
2000,85,4000,10,26.92,17.17
2000,85,4000,20,22.61,16.67
2000,85,4000,30,17.93,16.27
2000,85,4000,40,11.48,11.76
2000,85,4000,50,3.59,6.23
2000,100,5000,0,46.54,28.188
2000,100,5000,10,43.3,26.67
2000,100,5000,20,38.52,26.75
2000,100,5000,30,33.75,27.22
2000,100,5000,40,26.71,23.98
2000,100,5000,50,18.09,20.02
4000,65,4000,0,23.97,14.579
4000,65,4000,10,21.73,13.89
4000,65,4000,20,18.23,13.49
4000,65,4000,30,14.43,13.17
4000,65,4000,40,9.22,9.51
4000,65,4000,50,2.85,5.04
4000,80,5000,0,37.8,22.893
4000,80,5000,10,35.13,21.65
4000,80,5000,20,31.26,24.73
4000,80,5000,30,27.42,22.12
4000,80,5000,40,21.49,19.38
4000,80,5000,50,14.26,16.04
4000,100,6000,0,54.71,33.099
4000,100,6000,10,51.52,31.03
4000,100,6000,20,47.37,31.59
4000,100,6000,30,43.72,32.72
4000,100,6000,40,37.23,30.74
4000,100,6000,50,29.3,28.31
6000,60,4000,0,19.2,11.71
6000,60,4000,10,17.47,11.18
6000,60,4000,20,14.63,10.83
6000,60,4000,30,11.53,10.55
6000,60,4000,40,7.34,7.62
6000,60,4000,50,2.22,4.04
6000,80,5000,0,30.27,18.359
6000,80,5000,10,28.17,17.39
6000,80,5000,20,23.2,17.45
6000,80,5000,30,21.96,17.77
6000,80,5000,40,17.17,15.55
6000,80,5000,50,11.32,12.83
6000,100,6000,0,43.71,26.536
6000,100,6000,10,41.25,24.88
6000,100,6000,20,37.96,25.34
6000,100,6000,30,35.08,26.26
6000,100,6000,40,29.85,24.67
6000,100,6000,50,23.43,22.72
